PMID,Sentence,E1,Type_E1,Relation,E2,Type_E2
31792039,QUESTION 1: What nutritional/metabolic test(s) would be the next best step?Vitamin B1 (thiamine) levelsCopper and caeruloplasmin levelsBlood spot for acylcarnitine profilePlasma amino acid profileUrine organic acids QUESTION 2: What potentially dangerous feeding issues in paediatric intensive care exist here?Electrolyte levels and supplementationFat composition of feedsAmino acid composition of feedsVitamin levels QUESTION 3: Why might this patient have had preserved vitamin E levels?Vitamin E is added to rancherosSome vitamin E is obtained from sunlightFrench fries are relatively high in vitamin EMultivitamin preparations QUESTION 4: What metabolic disorders are associated with very low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders (disorders of respiratory chain)Maple syrup urine disease (MSUD) Answers can be found on page 01.,metabolic disorders,DISEASE,associated with,low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders,DISEASE
31792039,QUESTION 1: What nutritional/metabolic test(s) would be the next best step?Vitamin B1 (thiamine) levelsCopper and caeruloplasmin levelsBlood spot for acylcarnitine profilePlasma amino acid profileUrine organic acids QUESTION 2: What potentially dangerous feeding issues in paediatric intensive care exist here?Electrolyte levels and supplementationFat composition of feedsAmino acid composition of feedsVitamin levels QUESTION 3: Why might this patient have had preserved vitamin E levels?Vitamin E is added to rancherosSome vitamin E is obtained from sunlightFrench fries are relatively high in vitamin EMultivitamin preparations QUESTION 4: What metabolic disorders are associated with very low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders (disorders of respiratory chain)Maple syrup urine disease (MSUD) Answers can be found on page 01.,metabolic disorders,DISEASE,associated with,low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders,CHEMICAL
31019473,"This is more evident during rapid growth (i.e., perinatal periods and children) in which thiamine deficiency is commonly associated with either malnutrition or genetic defects.",thiamine deficiency,NUTRITION,associated in,malnutrition,DISEASE
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",confusion,DISEASE,reduce memory to,ataxia,DISEASE
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",confusion,DISEASE,reduce memory to,death,DISEASE
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",confusion,DISEASE,reduce memory to,muscle atrophy,DISEASE
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",confusion,DISEASE,reduce memory to,severe encephalopathy,DISEASE
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",confusion,DISEASE,reduce memory to,congestive heart failure,DISEASE
31019473,"This review discusses the current knowledge on thiamine deficiency and associated morbidity of neurological and psychiatric disorders, with special emphasis on the pediatric population, as well as the putative beneficial effect of thiamine supplementation in autism spectrum disorder (ASD) and other neurological conditions.",thiamine supplementation,NUTRITION,have the putative beneficial effect in,autism spectrum disorder,MENTAL_HEALTH
21453474,"This is, to the best of our knowledge, the first report in the literature to associate a new plausible mechanism of neurodevelopmental toxicity with a case of autism spectrum disorder through a vitamin deficiency potentiated by concomitant use of herbal supplements and ethanol exposure.",vitamin deficiency,BIOCHEMICAL,have a case of,autism spectrum disorder,MENTAL_HEALTH
