PMID,Sentence,ID_1,E1,Type_E1,Full_E1,MeSH_E1,Synonyms_1,Relation,ID_2,E2,Type_E2,Full_E2,MeSH_E2,Synonyms_2
31792039,QUESTION 1: What nutritional/metabolic test(s) would be the next best step?Vitamin B1 (thiamine) levelsCopper and caeruloplasmin levelsBlood spot for acylcarnitine profilePlasma amino acid profileUrine organic acids QUESTION 2: What potentially dangerous feeding issues in paediatric intensive care exist here?Electrolyte levels and supplementationFat composition of feedsAmino acid composition of feedsVitamin levels QUESTION 3: Why might this patient have had preserved vitamin E levels?Vitamin E is added to rancherosSome vitamin E is obtained from sunlightFrench fries are relatively high in vitamin EMultivitamin preparations QUESTION 4: What metabolic disorders are associated with very low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders (disorders of respiratory chain)Maple syrup urine disease (MSUD) Answers can be found on page 01.,,metabolic disorders,DISEASE,metabolic disorders,,,associated with,,low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders,DISEASE,low carnitine levels?Organic acidaemiasFatty acid oxidation disordersMitochondrial disorders,,
31019473,"This is more evident during rapid growth (i.e., perinatal periods and children) in which thiamine deficiency is commonly associated with either malnutrition or genetic defects.",,thiamine deficiency,NUTRITION,thiamine deficiency,,,associated in,,malnutrition,DISEASE,malnutrition,,
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",,confusion,DISEASE,confusion,,,reduce memory to,,ataxia,DISEASE,ataxia,,
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",,confusion,DISEASE,confusion,,,reduce memory to,,death,DISEASE,death,,
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",,confusion,DISEASE,confusion,,,reduce memory to,,muscle atrophy,DISEASE,muscle atrophy,,
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",,confusion,DISEASE,confusion,,,reduce memory to,,severe encephalopathy,DISEASE,severe encephalopathy,,
31019473,"Thiamine deficiency contributes to a number of conditions spanning from mild neurological and psychiatric symptoms (confusion, reduced memory, and sleep disturbances) to severe encephalopathy, ataxia, congestive heart failure, muscle atrophy, and even death.",,confusion,DISEASE,confusion,,,reduce memory to,,congestive heart failure,DISEASE,congestive heart failure,,
31019473,"This review discusses the current knowledge on thiamine deficiency and associated morbidity of neurological and psychiatric disorders, with special emphasis on the pediatric population, as well as the putative beneficial effect of thiamine supplementation in autism spectrum disorder (ASD) and other neurological conditions.",,thiamine supplementation,NUTRITION,thiamine supplementation,,,have the putative beneficial effect in,,autism spectrum disorder,MENTAL_HEALTH,autism spectrum disorder,,
21453474,"This is, to the best of our knowledge, the first report in the literature to associate a new plausible mechanism of neurodevelopmental toxicity with a case of autism spectrum disorder through a vitamin deficiency potentiated by concomitant use of herbal supplements and ethanol exposure.",,vitamin deficiency,BIOCHEMICAL,vitamin deficiency,,,have a case of,,autism spectrum disorder,MENTAL_HEALTH,autism spectrum disorder,,
34990378,"The treatment of bipolar depression is based on the options known from monopolar depression (such as the use of antidepressants, antipsychotics, and certain antiepileptic agents) and their combinations, while in recent years it has been enriched with new pharmaceutical agents and non-pharmacological approaches.",,bipolar depression,MENTAL_HEALTH,bipolar depression,,,based on options such as use of,,antidepressants,CHEMICAL,anticataplectic drugs,,
33564897,"The typical cannabis side effects of tiredness, dizziness, dry mouth, and nausea occur with all cannabis medicines, and correspond to those already known from the product information of the cannabis-based medicinal products authorized under the pharmaceutical law.",,tiredness,DISEASE,tiredness,,,occur with,,cannabis medicines,CHEMICAL,cannabis medicines,,
33564897,"The typical cannabis side effects of tiredness, dizziness, dry mouth, and nausea occur with all cannabis medicines, and correspond to those already known from the product information of the cannabis-based medicinal products authorized under the pharmaceutical law.",,typical cannabis side effects,CHEMICAL,typical cannabis side effects,,,occur with,,cannabis medicines,CHEMICAL,cannabis medicines,,
33564897,"The typical cannabis side effects of tiredness, dizziness, dry mouth, and nausea occur with all cannabis medicines, and correspond to those already known from the product information of the cannabis-based medicinal products authorized under the pharmaceutical law.",,dry mouth,DISEASE,dry mouth,,,occur with,,cannabis medicines,CHEMICAL,cannabis medicines,,
35179810,"Treatment-resistant depression (TRD) is characterized by the failure of at least one adequate trial of a major class of antidepressant, with adequate time and dosage.",,TRD,CHEMICAL,Treatment-resistant depression,,,characterized by failure of adequate trial of major class of,,antidepressant,CHEMICAL,antidepressant,,
31214863,"Although only a few studies have associated RTT and TH, TH deficit can lead to neurological deregulation by triggering functional deficiencies during adulthood.",,TH deficit,DISEASE,TH deficit,,,trigger,,functional deficiencies,DISEASE,functional deficiencies,,
2865824,Buspirone seems to be as effective as the benzodiazepines in the alleviation of anxiety and may have less untoward effects.,,Buspirone,CHEMICAL,Buspirone,,,seem to effective as benzodiazepines in alleviation of,,anxiety,MENTAL_HEALTH,experimental chronic stress,,
2865824,Buspirone seems to be as effective as the benzodiazepines in the alleviation of anxiety and may have less untoward effects.,,Buspirone,CHEMICAL,Buspirone,,,seem to effective as,,benzodiazepines,CHEMICAL,benzodiazepines,,
35077343,"The addition of biotin, or genetic complementation with biotin synthesis genes resulted in full growth of Rhizobium etli CFN42 and Rhizobium phaseoli CIAT652 strains.",,biotin synthesis genes,BIOCHEMICAL,biotin synthesis genes,,,result in full growth of,,Rhizobium etli CFN42,DISEASE,Rhizobium etli CFN42,,
35077343,"The addition of biotin, or genetic complementation with biotin synthesis genes resulted in full growth of Rhizobium etli CFN42 and Rhizobium phaseoli CIAT652 strains.",,biotin,BIOCHEMICAL,biotin,,,result in full growth of,,Rhizobium etli CFN42,DISEASE,Rhizobium etli CFN42,,
31244693,"Results: The n-3 index negatively correlated with the severity of general psychopathology, psychotic symptoms, depressive symptoms, and manic symptoms.",,n-3 index,CHEMICAL,n-3 index,,,correlate results with severity of,,psychotic symptoms,DISEASE,psychotic symptoms,,
31244693,"Results: The n-3 index negatively correlated with the severity of general psychopathology, psychotic symptoms, depressive symptoms, and manic symptoms.",,n-3 index,CHEMICAL,n-3 index,,,correlate results with severity of,,depressive symptoms,DISEASE,depressive symptoms,,
31244693,"Results: The n-3 index negatively correlated with the severity of general psychopathology, psychotic symptoms, depressive symptoms, and manic symptoms.",,n-3 index,CHEMICAL,n-3 index,,,correlate results with severity of,,manic symptoms,DISEASE,manic symptoms,,
31244693,The n-6/n-3 PUFA ratio positively correlated with severity of psychotic and depressive symptoms.,,n-6/n-3 PUFA ratio,CHEMICAL,n-6/n-3 PUFA ratio,,,correlate with severity of,,psychotic,DISEASE,psychotic,,
31244693,The n-6/n-3 PUFA ratio positively correlated with severity of psychotic and depressive symptoms.,,n-6/n-3 PUFA ratio,CHEMICAL,n-6/n-3 PUFA ratio,,,correlate with severity of,,symptoms,DISEASE,symptoms,,
31244693,"The n-3 PUFA DHA negatively correlated with the severity of general psychopathology, positive, manic, and depressive symptoms.",,n-3 PUFA DHA,CHEMICAL,n-3 PUFA DHA,,,correlate with severity of,,depressive symptoms,DISEASE,depressive symptoms,,
31244693,"The n-3 PUFA DHA negatively correlated with the severity of general psychopathology, positive, manic, and depressive symptoms.",,n-3 PUFA DHA,CHEMICAL,n-3 PUFA DHA,,,correlate with severity of,,manic,DISEASE,manic,,
31244693,"The long-chain saturated fatty acid tetracosanoic acid positively correlated with general psychopathology, positive, manic, and depressive symptoms.",,long-chain saturated fatty acid tetracosanoic acid,NUTRITION,long-chain saturated fatty acid tetracosanoic acid,,,correlate with,,depressive symptoms,DISEASE,depressive symptoms,,
31244693,"The long-chain saturated fatty acid tetracosanoic acid positively correlated with general psychopathology, positive, manic, and depressive symptoms.",,long-chain saturated fatty acid tetracosanoic acid,NUTRITION,long-chain saturated fatty acid tetracosanoic acid,,,correlate with,,manic,DISEASE,manic,,
28314070,The purpose of this study was to evaluate the extent of short-term memory impairment and schizophrenia-like symptoms in heavy and systematic cannabis users and the association between the severity of abuse and the longevity of its persistent symptoms after refraining from such use.,,short-term memory impairment,DISEASE,short-term memory impairment,,,have the extent in,,cannabis,CHEMICAL,Cannabis sativa L.,,
28314070,The purpose of this study was to evaluate the extent of short-term memory impairment and schizophrenia-like symptoms in heavy and systematic cannabis users and the association between the severity of abuse and the longevity of its persistent symptoms after refraining from such use.,,schizophrenia-like symptoms,DISEASE,schizophrenia-like symptoms,,,have the extent in,,cannabis,CHEMICAL,Cannabis sativa L.,,
2787581,"Although the number of cases in this study was small, the findings support the hypothesis that cannabis does play an aetiological role in schizophrenia.",,cannabis,CHEMICAL,Cannabis sativa L.,,,play aetiological role in,,schizophrenia,MENTAL_HEALTH,schizophrenia,,
28751857,It is still unclear whether this BDNF SNP affects the clinical outcome of RTT individuals.,,BDNF SNP,CHEMICAL,BDNF SNP,,,affect clinical outcome of,,RTT individuals,DISEASE,RTT individuals,,
28751857,"To evaluate whether this BDNF SNP contributes to RTT pathophysiology, we examined the consequences of expression of either val-BDNF or met-BDNF on dendrite and dendritic spine morphology, and synaptic function in cultured hippocampal neurons from wildtype (WT) and Mecp2 knockout (KO) mice.",,BDNF SNP,CHEMICAL,BDNF SNP,,,contribute to,,RTT pathophysiology,DISEASE,RTT pathophysiology,,
34305715,High scores for the emotionality and self-control dimensions of TEI were strongly associated with membership of the low alexithymia group; high scores for the emotional exhaustion dimension of school burnout were indicative of membership of the high alexithymia group.,,self-control dimensions,CHEMICAL,self-control dimensions,,,associated with membership of,,low alexithymia group,MENTAL_HEALTH,low alexithymia group,,
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",,autosomal recessive trait,DISEASE,autosomal recessive trait,,,cause,,adult-onset type citrullinemia,DISEASE,adult-onset type citrullinemia,,
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",,autosomal recessive trait,DISEASE,autosomal recessive trait,,,cause,,neonatal intrahepatic cholestasis,DISEASE,neonatal intrahepatic cholestasis,,
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",,autosomal recessive trait,DISEASE,autosomal recessive trait,,,cause,,CTLN2,DISEASE,adult-onset type II citrullinemia,,
16199199,Many CTLN2 patients have been treated with a low protein and high carbohydrate diet and glycerol at the hyperammonemic coma.,,Many CTLN2 patients,DISEASE,Many CTLN2 patients,,,treated with low protein and high carbohydrate diet and glycerol at,,hyperammonemic coma,DISEASE,hyperammonemic coma,,
23378222,"Patients with Parkinson's disease with hypersexuality were scanned ON and OFF dopamine drugs, and their results were compared with a group of 12 Parkinson's disease control patients without hypersexuality or other impulse control disorders.",,hypersexuality,DISEASE,hypersexuality,,,scanned,,dopamine drugs,CHEMICAL,dopamine drugs,,
23378222,"Patients with Parkinson's disease with hypersexuality were scanned ON and OFF dopamine drugs, and their results were compared with a group of 12 Parkinson's disease control patients without hypersexuality or other impulse control disorders.",,Parkinson's disease,DISEASE,Parkinson's disease,,,scanned,,dopamine drugs,CHEMICAL,dopamine drugs,,
32201299,These results also suggests the need to test for the concomitant prescription of ketamine and BZD to see whether its sustained antidepressant activity is maintained in TRD patients.,,sustained antidepressant activity,CHEMICAL,sustained antidepressant activity,,,maintained in,,TRD patients,DISEASE,TRD patients,,
25709457,Levothyroxine therapy might be potentially useful to attenuate mood instability in this patient group.,,Levothyroxine therapy,CHEMICAL,Levothyroxine therapy,,,attenuate,,mood instability,DISEASE,mood instability,,
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03).",,cilostazol group,CHEMICAL,cilostazol group,,,according to difference in intervening measures to,,clopidogrel,CHEMICAL,clopidogrel,,
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03).",,cilostazol group,CHEMICAL,cilostazol group,,,according to difference in intervening measures to,,drug,BIOCHEMICAL,drug,,
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03).",,cilostazol group,CHEMICAL,cilostazol group,,,according to difference in intervening measures to,,aspirin,CHEMICAL,aspirin,,
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03).",,cilostazol group,CHEMICAL,cilostazol group,,,according to difference in intervening measures to,,cilostazol,CHEMICAL,cilostazol,,
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03).",,cilostazol group,CHEMICAL,cilostazol group,,,inhibit progression of,,carotid intima-media thickness,DISEASE,carotid intima-media thickness,,
35255053,"Cilostazol therapy significantly increased the risk of adverse events of headache (odds ratio, 12.91; 95% CI 5.33-31.29).",,Cilostazol therapy,CHEMICAL,Cilostazol therapy,,,increase risk of adverse events of,,headache,MENTAL_HEALTH,headache,,
